wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc
5,3,0,1,16,8,0,1,3,1.246296296,2125,0.0,0,0.926829268,0.333333333,0,0,397.0,2,0.8
2,5,0,5,10,0,1,4,2,0.0,27,1.0,0,0.947368421,0.666666667,0,0,12.0,1,0.5
7,1,0,18,53,9,1,17,7,0.722222222,609,0.0,0,0.0,0.333333333,0,0,85.14285714,10,2.4286
13,1,0,4,40,8,0,4,2,0.697916667,516,0.0,4,0.0,0.15,0,0,38.07692308,7,2.7692
1,1,0,8,1,0,8,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0
13,1,0,8,31,14,6,7,11,0.666666667,485,1.0,3,0.0,0.230769231,0,0,35.69230769,11,3.3077
11,2,0,7,21,35,2,5,9,0.8,107,0.5,0,0.55,0.257575758,1,4,8.545454545,2,0.9091
2,4,0,4,12,1,0,4,1,2.0,55,0.0,0,0.980392157,1.0,1,2,26.5,4,2.0
10,1,0,3,16,27,1,2,10,0.666666667,69,1.0,1,0.0,0.425,0,0,5.6,1,0.7
164,1,0,138,378,12328,109,49,126,0.94432226,5866,0.679245283,11,0.0,0.08271474,0,0,34.44512195,57,3.4817
3,2,0,11,29,3,0,11,3,2.0,192,0.0,0,0.75,0.555555556,0,0,63.0,11,4.0
1,1,0,1,1,0,0,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0
8,1,0,24,20,22,21,3,6,0.571428571,176,1.0,1,0.0,0.25,0,0,20.875,1,0.75
7,1,0,8,21,9,2,6,7,0.833333333,207,1.0,5,0.0,0.571428571,0,0,27.71428571,2,1.0
7,2,2,9,15,1,8,1,4,0.583333333,92,1.0,1,0.454545455,0.464285714,1,1,11.57142857,1,0.8571
20,3,2,35,72,120,14,24,19,0.910931174,404,1.0,3,0.759493671,0.1875,1,4,18.55,7,1.8
2,2,0,6,4,1,4,2,0,2.0,39,0.0,0,0.923076923,0.666666667,1,3,18.5,4,2.0
10,4,1,3,20,43,2,2,9,1.0,64,0.5,0,0.897727273,0.325,2,8,5.2,2,1.0
3,4,0,1,4,1,0,1,2,1.428571429,1872,0.0,0,0.976190476,1.0,0,0,618.3333333,1,0.3333
10,1,4,17,81,5,4,13,4,0.783625731,743,1.0,7,0.0,0.259259259,0,0,71.4,14,4.2
9,1,0,13,16,0,13,0,9,0.6,152,0.2,0,0.0,0.518518519,1,1,15.33333333,3,1.1111
18,2,0,6,35,37,1,5,16,0.806722689,287,0.571428571,2,0.423076923,0.366666667,1,6,14.55555556,2,0.8889
17,7,2,15,117,100,4,12,8,0.701388889,878,1.0,1,0.977645306,0.176470588,4,9,50.11764706,15,2.9412
21,2,0,14,25,198,8,7,16,0.8,119,1.0,1,0.678571429,0.217687075,1,3,4.619047619,1,0.8571
19,1,34,78,23,119,75,5,16,0.873015873,125,1.0,4,0.0,0.218045113,0,0,5.210526316,2,1.0
1,1,0,4,2,0,1,3,0,2.0,54,0.0,3,0.0,1.0,0,0,48.0,0,0.0
13,1,0,28,104,76,2,26,8,0.916666667,691,1.0,1,0.0,0.227272727,0,0,52.07692308,8,1.6154
5,1,0,1,19,0,1,0,3,0.5,108,1.0,0,0.0,0.533333333,0,0,20.2,3,1.4
7,1,0,0,7,21,0,0,7,2.0,7,0.0,0,0.0,0.25,0,0,0.0,1,1.0
7,4,0,3,10,21,0,3,7,2.0,39,0.0,0,0.931818182,0.571428571,1,6,4.571428571,1,0.8571
3,2,1,10,4,0,8,2,2,1.125,22,0.0,0,0.888888889,0.5,0,0,5.0,1,0.6667
44,1,0,28,120,794,14,15,42,0.942857143,1110,0.571428571,7,0.0,0.146103896,0,0,23.43181818,12,2.1364
83,2,0,11,178,0,1,10,76,0.843089431,1124,1.0,1,0.514792899,0.116465863,2,10,12.36144578,10,1.2048
3,4,0,6,12,3,2,4,2,2.0,68,0.0,0,0.985714286,0.428571429,1,7,21.66666667,1,0.3333
6,5,0,5,46,11,1,4,1,0.88,251,0.8,2,0.993610224,0.3,0,0,40.0,8,2.5
1,1,0,0,2,0,0,0,1,2.0,40,0.0,0,0.0,1.0,0,0,3.0,0,0.0
4,1,0,0,18,0,0,0,3,1.166666667,130,0.5,0,0.0,0.333333333,0,0,30.0,6,2.5
16,3,0,9,65,38,3,7,13,0.666666667,670,0.777777778,0,0.729166667,0.185185185,2,5,40.3125,24,4.875
2,2,0,11,9,1,3,8,1,2.0,65,0.0,0,0.947368421,0.625,0,0,31.5,1,0.5
3,3,0,0,4,1,0,0,2,0.5,234,1.0,0,0.974358974,1.0,0,0,76.66666667,1,0.3333
17,1,1,15,45,46,7,8,16,0.395833333,444,1.0,2,0.0,0.294117647,0,0,24.94117647,8,2.2941
9,2,0,7,30,0,1,7,9,0.0,228,1.0,0,0.5,0.333333333,1,1,24.22222222,3,2.1111
9,1,0,11,58,28,1,10,4,0.75,465,0.666666667,1,0.0,0.25,0,0,50.33333333,30,4.5556
9,2,0,6,34,30,1,5,7,0.669117647,721,1.0,2,0.363636364,0.285714286,0,0,77.22222222,1,0.7778
7,1,0,7,20,9,2,5,7,0.833333333,173,1.0,5,0.0,0.571428571,0,0,22.85714286,2,1.0
1,1,0,5,1,0,3,2,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0
25,2,0,16,74,206,6,15,18,0.800925926,448,1.0,1,0.361111111,0.19047619,1,1,16.56,4,1.32
3,5,0,1,9,0,0,1,3,0.5,33,1.0,0,0.894736842,0.555555556,0,0,9.333333333,1,0.6667
19,1,1,7,35,137,1,6,16,0.857142857,183,1.0,1,0.0,0.157894737,0,0,8.263157895,2,1.0
9,1,0,1,15,36,0,1,9,2.0,69,0.0,0,0.0,0.111111111,0,0,6.666666667,2,1.0
5,4,3,19,21,0,3,16,5,0.25,149,1.0,2,0.96969697,0.366666667,3,14,28.4,4,1.2
54,5,0,41,175,1183,21,27,25,0.930333817,1425,0.846153846,5,0.926241135,0.122895623,3,12,24.90740741,11,2.1296
4,1,0,9,28,2,2,8,2,0.333333333,475,0.0,1,0.0,0.583333333,0,0,117.25,1,0.75
10,2,7,17,26,31,11,6,6,0.666666667,156,1.0,1,0.222222222,0.266666667,0,0,14.4,3,1.2
3,4,0,1,4,1,0,1,2,1.428571429,1872,0.0,0,0.976190476,1.0,0,0,618.3333333,1,0.3333
5,2,0,2,12,0,1,1,5,0.125,82,0.5,0,0.5,0.466666667,1,1,15.0,1,0.8
2,4,0,4,4,0,1,3,1,0.0,16,1.0,1,0.9375,0.666666667,1,1,6.5,1,0.5
16,2,0,5,41,74,0,5,13,0.916666667,853,0.375,0,0.363636364,0.244444444,1,1,51.8125,7,2.0
8,1,0,1,8,28,0,1,8,2.0,8,0.0,0,0.0,0.28125,0,0,0.0,1,1.0
23,1,0,25,98,95,8,22,13,0.842424242,734,0.8,3,0.0,0.217391304,0,0,30.26086957,9,2.2174
17,2,0,9,20,124,4,7,13,0.75,99,1.0,1,0.730769231,0.235294118,1,3,4.764705882,1,0.8235
2,1,0,10,14,0,2,8,2,0.0,104,1.0,0,0.0,0.583333333,0,0,50.5,1,0.5
8,2,0,16,52,16,2,0,5,0.666666667,336,1.0,1,0.740740741,0.46875,1,1,40.625,2,1.0
15,2,0,6,27,7,1,6,7,0.612244898,287,1.0,1,0.44,0.2,1,3,17.66666667,3,1.0667
3,1,0,5,9,1,2,5,3,0.5,28,1.0,1,0.0,0.555555556,0,0,8.0,1,0.6667
9,3,0,9,29,0,0,9,9,0.583333333,168,1.0,1,0.822222222,0.444444444,0,0,17.33333333,2,1.4444
12,1,0,10,64,0,1,10,7,0.545454545,444,1.0,1,0.0,0.243055556,0,0,35.75,6,2.6667
5,3,0,9,24,10,1,9,3,2.0,137,0.0,0,0.882352941,0.4,0,0,26.4,6,2.8
1,1,0,43,1,0,43,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0
0,1,0,1,0,0,1,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
87,2,0,8,100,3741,0,8,84,2.0,711,0.0,0,0.104166667,0.054675365,1,2,7.172413793,3,1.023
5,1,0,6,13,0,5,1,5,0.0,69,1.0,0,0.0,0.533333333,0,0,12.6,3,1.2
5,1,0,20,5,10,20,0,5,2.0,5,0.0,0,0.0,0.6,0,0,0.0,1,1.0
3,1,0,0,3,3,0,0,3,2.0,3,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0
3,2,0,4,5,3,1,3,0,2.0,20,0.0,0,0.777777778,0.466666667,1,2,5.666666667,1,0.6667
15,3,0,20,50,79,6,19,9,0.988095238,410,1.0,7,0.779661017,0.205357143,2,14,24.73333333,2,0.9333
17,1,0,0,17,136,0,0,17,2.0,17,0.0,0,0.0,0.455882353,0,0,0.0,1,1.0
2,1,0,1,7,1,1,0,1,2.0,37,0.0,0,0.0,0.5,0,0,17.5,3,1.5
4,5,0,4,8,6,3,1,4,2.0,20,0.0,0,1.0,0.666666667,0,0,4.0,0,0.0
5,2,0,8,13,0,3,5,4,0.0,64,1.0,1,0.636363636,0.45,1,1,11.6,1,0.8
2,1,0,3,22,1,1,2,2,2.0,128,0.0,0,0.0,0.75,0,0,63.0,5,2.5
1,1,0,8,2,0,8,0,0,2.0,36,0.0,0,0.0,1.0,0,0,27.0,0,0.0
9,1,0,127,9,36,122,7,9,2.0,9,0.0,0,0.0,0.333333333,0,0,0.0,1,1.0
2,4,0,17,25,1,1,16,2,2.0,137,0.0,0,0.987012987,0.625,2,3,67.5,9,4.5
5,4,1,7,13,2,4,4,5,0.833333333,52,0.666666667,1,0.951807229,0.4,2,6,8.8,2,1.2
12,2,0,12,55,0,1,12,12,0.409090909,320,1.0,0,0.592592593,0.212962963,1,1,25.5,5,1.5833
3,3,0,10,25,0,1,10,2,0.0,134,1.0,0,0.92,0.5,1,1,43.33333333,2,1.0
3,3,0,8,14,3,0,8,3,2.0,45,0.0,0,0.777777778,0.555555556,0,0,14.0,3,1.3333
3,3,0,6,4,1,5,1,3,2.0,24,0.0,0,0.875,0.555555556,0,0,7.0,2,1.3333
2,2,0,1,6,1,0,1,2,2.0,13,0.0,0,0.928571429,1.0,0,0,5.5,1,0.5
25,1,0,4,29,0,4,0,24,0.388888889,629,1.0,0,0.0,0.36,1,1,24.04,9,2.6
10,3,0,8,20,3,6,2,10,0.555555556,86,1.0,0,0.793103448,0.38,1,4,7.4,1,0.6
1,1,0,1,2,0,1,0,0,2.0,6,0.0,0,0.0,1.0,0,0,3.0,0,0.0
6,3,0,6,17,3,1,5,6,0.4,60,1.0,0,0.975124378,0.444444444,2,4,8.833333333,1,0.8333
2,1,2,8,4,1,7,1,2,1.0,11,1.0,1,0.0,0.666666667,0,0,4.0,1,0.5
9,3,0,4,41,14,0,4,8,0.791666667,334,1.0,0,0.822222222,0.355555556,1,1,35.44444444,11,2.0
24,1,0,2,36,0,1,1,21,0.504347826,991,0.666666667,0,0.0,0.3125,0,0,39.66666667,7,1.5
11,1,0,2,26,53,1,2,6,1.033333333,226,1.0,0,0.0,0.157142857,0,0,19.27272727,24,3.6364
11,1,0,33,19,41,33,0,10,0.633333333,186,1.0,0,0.0,0.309090909,0,0,15.63636364,4,1.4545
3,1,0,7,13,3,0,7,3,2.0,113,0.0,0,0.0,0.533333333,0,0,36.66666667,1,0.6667
9,1,0,7,21,16,0,7,9,0.85,123,1.0,1,0.0,0.311111111,0,0,12.11111111,7,1.6667
0,1,0,0,0,0,0,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
4,2,0,8,13,2,0,8,3,0.666666667,61,1.0,0,0.6,0.666666667,0,0,13.75,3,1.0
8,1,0,7,14,10,3,6,8,0.642857143,76,1.0,0,0.0,0.270833333,0,0,8.25,3,1.0
14,1,1,18,17,91,18,0,14,2.0,189,0.0,0,0.0,0.297619048,0,0,12.5,1,0.9286
19,4,0,8,84,103,0,8,14,0.929487179,1034,1.0,1,0.821052632,0.26984127,0,0,52.05263158,1,0.8947
5,6,0,12,35,10,0,12,4,1.25,184,0.0,0,0.941176471,0.4,2,8,35.6,1,0.8
6,3,0,9,26,15,0,9,6,2.0,160,0.0,0,0.975124378,0.444444444,2,5,25.66666667,4,1.3333
10,1,0,3,40,39,0,3,4,0.962962963,470,1.0,0,0.0,0.388888889,0,0,45.7,8,2.3
4,2,0,8,6,0,1,7,4,0.0,37,1.0,0,0.8,0.45,0,0,8.0,3,1.25
16,1,0,9,43,112,5,4,14,0.6,273,1.0,0,0.0,0.4875,0,0,15.9375,1,0.875
32,1,1,40,161,236,27,26,17,0.806451613,1927,0.882352941,4,0.0,0.192708333,0,0,58.6875,18,3.5
2,1,0,26,5,1,25,1,1,1.556179775,500,0.0,1,0.0,1.0,0,0,160.0,0,0.0
35,2,0,8,53,535,3,5,30,0.941176471,396,0.818181818,0,0.255813953,0.225,1,5,10.0,7,1.6
19,2,0,9,20,159,4,7,15,0.666666667,105,1.0,1,0.703703704,0.233082707,1,3,4.473684211,1,0.8421
3,3,0,7,8,3,2,5,3,2.0,23,0.0,0,0.952380952,0.555555556,1,1,6.666666667,1,0.6667
2,1,0,0,2,1,0,0,2,2.0,2,0.0,0,0.0,1.0,0,0,0.0,1,1.0
2,4,0,2,4,1,1,1,1,2.0,13,0.0,0,0.923076923,0.666666667,1,1,5.5,2,1.0
3,1,0,12,3,3,11,1,3,2.0,3,0.0,0,0.0,0.833333333,0,0,0.0,1,1.0
10,3,0,36,70,7,1,35,7,0.644444444,658,1.0,2,0.861538462,0.3,1,9,64.3,13,4.0
13,1,5,43,14,78,40,13,13,2.0,40,0.0,0,0.0,0.203296703,0,0,2.076923077,1,0.9231
7,2,0,7,26,0,1,6,5,0.166666667,152,1.0,1,0.684210526,0.357142857,1,1,20.42857143,4,1.2857
7,3,0,4,16,0,1,3,6,0.333333333,179,1.0,2,0.571428571,0.476190476,1,3,24.14285714,1,0.8571
12,6,0,10,65,34,3,9,1,0.784090909,448,1.0,0,0.983655275,0.5,3,5,35.66666667,8,2.0833
3,1,0,10,22,1,1,9,2,0.5,157,1.0,2,0.0,0.666666667,0,0,50.66666667,6,2.0
11,1,0,4,36,51,4,0,8,1.01,314,0.6,0,0.0,0.22,0,0,26.63636364,4,1.3636
25,2,0,8,44,108,1,7,23,0.939393939,436,0.363636364,3,0.323529412,0.253333333,1,4,15.56,2,0.96
15,2,0,7,40,49,0,7,11,0.285714286,195,1.0,0,0.845238095,0.224242424,1,10,11.93333333,3,1.0
7,3,0,5,24,3,0,5,5,0.5,141,1.0,2,0.5,0.267857143,2,2,18.57142857,3,1.2857
12,1,0,3,25,0,2,1,0,0.436363636,212,1.0,0,0.0,0.395833333,0,0,16.25,3,1.3333
2,5,0,4,8,0,1,4,2,0.0,22,1.0,1,0.95,0.666666667,0,0,9.5,1,0.5
3,1,0,8,18,0,2,6,2,0.5,59,1.0,0,0.0,0.666666667,0,0,18.0,1,0.3333
1,1,0,8,1,0,8,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0
27,1,0,33,78,219,23,13,24,0.737179487,394,1.0,5,0.0,0.150997151,0,0,13.37037037,4,1.2593
9,2,0,7,50,14,2,5,8,0.5625,348,1.0,1,0.884057971,0.481481481,2,4,37.22222222,8,3.4444
2,1,0,2,2,1,2,0,2,2.0,2,0.0,0,0.0,1.0,0,0,0.0,1,1.0
6,2,0,11,26,13,0,11,3,0.866666667,105,0.333333333,0,0.6,0.4,1,2,16.0,4,1.3333
3,1,0,2,13,1,2,0,2,0.5,95,1.0,0,0.0,0.5,0,0,30.33333333,4,1.3333
5,1,0,5,5,10,3,2,5,2.0,5,0.0,0,0.0,0.55,0,0,0.0,1,1.0
1,1,0,8,1,0,8,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0
3,1,3,3,4,3,3,0,3,2.0,10,0.0,0,0.0,0.666666667,0,0,2.333333333,1,0.6667
38,1,0,4,68,0,3,1,38,0.081081081,267,1.0,0,0.0,0.192105263,1,1,6.0,2,1.0
6,1,0,6,9,15,4,3,6,2.0,34,0.0,0,0.0,0.611111111,0,0,4.666666667,2,1.0
2,3,0,4,8,1,0,4,1,2.0,18,0.0,0,0.971428571,0.666666667,1,2,8.0,1,0.5
5,3,0,12,19,6,4,8,4,0.75,159,1.0,0,0.571428571,0.75,0,0,30.6,9,3.2
11,1,0,18,11,55,6,12,11,2.0,11,0.0,0,0.0,0.263636364,0,0,0.0,1,1.0
3,5,0,6,14,3,5,2,3,2.0,52,0.0,0,0.96875,0.555555556,1,1,16.33333333,3,1.6667
5,7,0,7,34,0,3,7,3,0.666666667,159,1.0,1,0.995043371,0.32,3,13,30.2,4,1.6
5,7,0,9,64,6,3,8,3,0.75,312,1.0,0,0.993939394,0.3,2,5,61.0,1,0.8
8,1,0,2,27,18,1,1,6,0.428571429,567,1.0,0,0.0,0.314285714,0,0,68.875,8,2.5
5,3,3,4,7,4,4,0,5,0.5,29,1.0,0,0.944444444,0.6,0,0,4.6,1,0.2
19,1,36,51,30,147,47,7,19,0.888888889,240,0.5,4,0.0,0.233082707,0,0,11.31578947,6,1.6316
9,3,0,5,16,0,0,5,0,0.579545455,1583,1.0,0,0.826086957,0.366666667,1,3,173.6666667,1,0.8889
7,2,0,4,21,3,2,4,7,0.666666667,108,1.0,0,0.5,0.428571429,1,1,13.71428571,2,1.0
5,4,0,2,8,10,0,2,5,2.0,28,0.0,0,0.959183673,0.6,0,0,4.6,1,0.8
16,1,1,24,23,92,22,2,14,0.888888889,133,1.0,0,0.0,0.5625,0,0,6.9375,3,1.125
16,1,2,17,39,74,4,13,7,0.85,360,1.0,3,0.0,0.266666667,0,0,21.25,3,1.0
7,2,1,5,10,9,3,3,7,0.944444444,76,0.666666667,0,0.88,0.571428571,1,3,9.428571429,3,1.7143
7,3,0,12,32,17,1,11,4,0.888888889,228,0.333333333,0,0.642857143,0.366666667,1,2,31.14285714,10,2.8571
14,1,0,10,34,65,1,0,13,0.355769231,207,1.0,0,0.0,0.404761905,0,0,13.21428571,3,1.1429
9,1,0,6,18,0,6,1,8,1.015625,368,0.104166667,17,0.0,0.40625,0,0,34.55555556,2,1.0
3,1,0,1,4,0,1,0,3,0.642857143,55,0.0,0,0.0,0.666666667,0,0,15.0,0,0.0
4,3,18,20,16,6,19,1,3,1.333333333,425,0.0,0,0.926829268,0.416666667,0,0,100.75,3,1.25
0,1,0,0,0,0,0,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
4,1,0,6,7,4,1,5,4,0.333333333,23,1.0,0,0.0,0.5,0,0,4.5,1,0.75
21,5,2,15,83,142,2,13,8,0.78,799,1.0,5,0.862068966,0.186507937,3,7,36.57142857,9,1.5238
7,1,0,2,7,21,2,0,7,2.0,7,0.0,0,0.0,0.642857143,0,0,0.0,1,1.0
8,3,0,6,23,8,2,5,6,0.785714286,125,0.5,0,0.666666667,0.325,1,4,14.375,2,0.875
1,1,0,1,13,0,1,0,0,2.0,115,0.0,0,0.0,1.0,0,0,100.0,0,0.0
6,1,5,5,18,5,5,0,1,0.6,88,0.5,0,0.0,0.7,0,0,13.33333333,1,0.5
14,1,0,12,22,61,11,1,13,0.692307692,175,0.0,3,0.0,0.320512821,0,0,11.28571429,3,0.7143
6,2,0,5,16,7,1,5,2,0.7,59,1.0,0,0.636363636,0.36,1,1,8.5,2,0.8333
